Case Number,Month_classifier,Year_classified,Type_classified,Country_classified,Area,Location,Activity_classified,Sex_classified,Investigator or Source,pdf,href formula,href,Case Number.1,Case Number.2,original order,Fatal_classified
2018.05.00,May,2018,Provoked,Australia,Westerm Australia,Dugong Bay,Feeding,F,"Perth Now, 6/30/2018",2018.05.00-Brunning.pdf,http://sharkattackfile.net/spreadsheets/pdf_directory/2018.05.00-Brunning.pdf,http://sharkattackfile.net/spreadsheets/pdf_directory/2018.05.00-Brunning.pdf,2018.05.00,2018.05.00,6289.0,No
2018.05.12,May,2018,Unprovoked,South Africa,Eastern Cape Province,"Nahoon Beach, East London",Surfing,M,"B.Jacob, Dispatch Live, 5/12/2018",2018.05.12-EastLondon.pdf,http://sharkattackfile.net/spreadsheets/pdf_directory/2018.05.12-EastLondon.pdf,http://sharkattackfile.net/spreadsheets/pdf_directory/2018.05.12-EastLondon.pdf,2018.05.12,2018.05.12,6288.0,No
2018.05.09,May,2018,Questionable,Australia,New South Wales,"Sharpes Beach, Ballina",Surfing,M,"B. Myatt, GSAF",2018.05.09-SharpesBeach.pdf,http://sharkattackfile.net/spreadsheets/pdf_directory/2018.05.09-SharpesBeach.pdf,http://sharkattackfile.net/spreadsheets/pdf_directory/2018.05.09-SharpesBeach.pdf,2018.05.09,2018.05.09,6287.0,No
2018.04.30.R,April,2018,Unprovoked,Thailand,Hua Hin,Sai Noi Beach,Swimming,M,"K. McMurray, TrackingSharks.com",2018.04.30.R-Thailand.pdf,http://sharkattackfile.net/spreadsheets/pdf_directory/2018.04.30.R-Thailand.pdf,http://sharkattackfile.net/spreadsheets/pdf_directory/2018.04.30.R-Thailand.pdf,2018.04.30.R,2018.04.30.R,6286.0,No
2018.04.28.b,April,2018,Unprovoked,Costa Rica,Cocos Island,Manuelita,Scubadiving,M,Costa Rica Star. 4/28/2018,2018.04.28.b-CostaRica.pdf,http://sharkattackfile.net/spreadsheets/pdf_directory/2018.04.28.b-CostaRica.pdf,http://sharkattackfile.net/spreadsheets/pdf_directory/2018.04.28.b-CostaRica.pdf,2018.04.28.b,2018.04.28.b,6285.0,No
2018.04.28.a,April,2018,Unprovoked,Australia,Western Australia,Gearys Beach,Surfing,M,"B. Myatt, GSAF",2018.04.28.a-Murray.pdf,http://sharkattackfile.net/spreadsheets/pdf_directory/2018.04.28.a-Murray.pdf,http://sharkattackfile.net/spreadsheets/pdf_directory/2018.04.28.a-Murray.pdf,2018.04.28.a,2018.04.28.a,6284.0,No
2018.04.25.b,April,2018,Questionable,Australia,New South Wales,Lennox Head,Surfing,M,"B. Myatt, GSAF",2018.04.25.b-Lee.pdf,http://sharkattackfile.net/spreadsheets/pdf_directory/2018.04.25.b-Lee.pdf,http://sharkattackfile.net/spreadsheets/pdf_directory/2018.04.25.b-Lee.pdf,2018.04.25.b,2018.04.25.b,6283.0,No
2018.04.25.a,April,2018,Unprovoked,Australia,Western Australia,"Surfers Point, Prevelly",Surfing,M,"B.Myatt, GSAF",2018.04.25.a-Bruce.pdf,http://sharkattackfile.net/spreadsheets/pdf_directory/2018.04.25.a-Bruce.pdf,http://sharkattackfile.net/spreadsheets/pdf_directory/2018.04.25.a-Bruce.pdf,2018.04.25.a,2018.04.25.a,6282.0,No
2018.04.24,April,2018,Unprovoked,Australia,Western Australia,"South Point, Gracetown",Surfing,M,"B. Myatt, GSAF",2018.04.24-Burch.pdf,http://sharkattackfile.net/spreadsheets/pdf_directory/2018.04.24-Burch.pdf,http://sharkattackfile.net/spreadsheets/pdf_directory/2018.04.24-Burch.pdf,2018.04.24,2018.04.24,6281.0,No
2018.04.23,April,2018,Unprovoked,Maldives,Alifu Alifu Atoll,Madoogali,Fishing,M,"K. McMurray, TrackingSharks.com",2018.04.23-Maldives.pdf,http://sharkattackfile.net/spreadsheets/pdf_directory/2018.04.23-Maldives.pdf,http://sharkattackfile.net/spreadsheets/pdf_directory/2018.04.23-Maldives.pdf,2018.04.23,2018.04.23,6280.0,No
2018.04.22,April,2018,Unprovoked,South Africa,Western Cape Province,"Robberg Beach, Plettenberg Bay",Paddleskiing,M,"Africa News Agency, 4/22/2018",2018.04.22-PlettenbergBay.pdf,http://sharkattackfile.net/spreadsheets/pdf_directory/2018.04.22-PlettenbergBay.pdf,http://sharkattackfile.net/spreadsheets/pdf_directory/2018.04.22-PlettenbergBay.pdf,2018.04.22,2018.04.22,6279.0,No
2018.04.19,April,2018,Unprovoked,Usa,Hawaii,"Shipwrecks Beach, Keoneloa Bay, Kauai",Bodyboarding,M,"The Garden Island, 4/19/2018",2018.04.19-McWilliams.pdf,http://sharkattackfile.net/spreadsheets/pdf_directory/2018.04.19-McWilliams.pdf,http://sharkattackfile.net/spreadsheets/pdf_directory/2018.04.19-McWilliams.pdf,2018.04.19,2018.04.19,6278.0,No
2018.04.15.d,April,2018,Unprovoked,Thailand,Hua Hin,Sai Noi Beach,Swimming,M,"Straits Times, 4/16/2018",2018.04.15.d-Thailand.pdf,http://sharkattackfile.net/spreadsheets/pdf_directory/2018.04.15.d-Thailand.pdf,http://sharkattackfile.net/spreadsheets/pdf_directory/2018.04.15.d-Thailand.pdf,2018.04.15.d,2018.04.15.d,6277.0,No
2018.04.15.c,April,2018,Unprovoked,Brazil,Pernambuco,Piedade,Swimming,M,"Globo, 4/16/2018",2018.04.15.c-deMelo.pdf,http://sharkattackfile.net/spreadsheets/pdf_directory/2018.04.15.c-deMelo.pdf,http://sharkattackfile.net/spreadsheets/pdf_directory/2018.04.15.c-deMelo.pdf,2018.04.15.c,2018.04.15.c,6276.0,not specified
2018.04.15.b,April,2018,Unprovoked,Australia,Western Australia,"Lefthanders, Margaret River Area",Surfing,M,"B.Myatt, GSAF",2018.04.15.b-Longrass.pdf,http://sharkattackfile.net/spreadsheets/pdf_directory/2018.04.15.b-Longrass.pdf,http://sharkattackfile.net/spreadsheets/pdf_directory/2018.04.15.b-Longrass.pdf,2018.04.15.b,2018.04.15.b,6275.0,No
2018.04.15.a,April,2018,Unprovoked,Australia,Western Australia,"Cobblestones, Margaret River Area",Surfing,M,"B.Myatt, GSAF",2018.04.15.a-Travaglini.pdf,http://sharkattackfile.net/spreadsheets/pdf_directory/2018.04.15.a-Travaglini.pdf,http://sharkattackfile.net/spreadsheets/pdf_directory/2018.04.15.a-Travaglini.pdf,2018.04.15.a,2018.04.15.a,6274.0,No
2018.04.14,April,2018,Unprovoked,Bahamas,New Providence,Nirvana Beach,Surfing,M,"Tribune242,",2018.04.14-Rowan.pff,http://sharkattackfile.net/spreadsheets/pdf_directory/2018.04.14-Rowan.pff,http://sharkattackfile.net/spreadsheets/pdf_directory/2018.04.14-Rowan.pff,2018.04.14,2018.04.14,6273.0,No
2018.04.10.R,April,2018,Invalid,Brazil,Alagoas,"Praia de Sauaçuhy, Maceió",Fishing,M,"K. McMurray, TrackingSharks.com",2018.04.10.R-Paz.pdf,http://sharkattackfile.net/spreadsheets/pdf_directory/2018.04.10.R-Paz.pdf,http://sharkattackfile.net/spreadsheets/pdf_directory/2018.04.10.R-Paz.pdf,2018.04.10.R,2018.04.10.R,6272.0,No
2018.04.09,April,2018,Unprovoked,New Caledonia,Not specified,"Magenta Beach, Noumea",Windsurfing,No specified,"Les Nouvelles Caledoniennes, 4/10/2018",2018.04.09-Magenta.pdf,http://sharkattackfile.net/spreadsheets/pdf_directory/2018.04.09-Magenta.pdf,http://sharkattackfile.net/spreadsheets/pdf_directory/2018.04.09-Magenta.pdf,2018.04.09,2018.04.09,6271.0,No
2018.04.05,April,2018,Unprovoked,Bahamas,Not specified,Bimini,Swimming,M,"K. McMurray, TrackingSharks.com",2018.04.05-McConnell.pdf,http://sharkattackfile.net/spreadsheets/pdf_directory/2018.04.05-McConnell.pdf,http://sharkattackfile.net/spreadsheets/pdf_directory/2018.04.05-McConnell.pdf,2018.04.05,2018.04.05,6270.0,No
2018.04.03,April,2018,Unprovoked,South Africa,Eastern Cape Province,St. Francis Bay,Surfing,M,"K. McMurray, TrackingSharks.com",2018.04.03-StFrancisBay.pdf,http://sharkattackfile.net/spreadsheets/pdf_directory/2018.04.03-StFrancisBay.pdf,http://sharkattackfile.net/spreadsheets/pdf_directory/2018.04.03-StFrancisBay.pdf,2018.04.02,2018.04.03,6269.0,No
2018.03.31,March,2018,Unprovoked,Usa,Hawaii,Kukio Beach,Standuppaddleboarding,M,"Khon2, 3/31/2018",2018.03.31-Hawaii.pdf,http://sharkattackfile.net/spreadsheets/pdf_directory/2018.03.31-Hawaii.pdf,http://sharkattackfile.net/spreadsheets/pdf_directory/2018.03.31-Hawaii.pdf,2018.03.31,2018.03.31,6268.0,No
2018.03.14,March,2018,Unprovoked,Australia,Western Australia,Waterman's Bay,Wading,M,"B. Myatt, GSAF",2018.03.14-WatermansBay.pdf,http://sharkattackfile.net/spreadsheets/pdf_directory/2018.03.14-WatermansBay.pdf,http://sharkattackfile.net/spreadsheets/pdf_directory/2018.03.14-WatermansBay.pdf,2018.03.14,2018.03.14,6267.0,No
2018.03.09.b,March,2018,Unprovoked,Australia,Victoria,Lorne,Swimming,M,"B. Myatt, GSAF",2018.03.09.b-Crossland.pdf,http://sharkattackfile.net/spreadsheets/pdf_directory/2018.03.09.b-Crossland.pdf,http://sharkattackfile.net/spreadsheets/pdf_directory/2018.03.09.b-Crossland.pdf,2018.03.09.b,2018.03.09.b,6266.0,No
2018.03.09.a,March,2018,Unprovoked,Australia,Victoria,Winkipop,Surfing,M,"B. Myatt, GSAF",2018.03.09.a-Weight.pdf,http://sharkattackfile.net/spreadsheets/pdf_directory/2018.03.09.a-Weight.pdf,http://sharkattackfile.net/spreadsheets/pdf_directory/2018.03.09.a-Weight.pdf,2018.03.09.a,2018.03.09.a,6265.0,No
2018.02.24,February,2018,Unprovoked,South Africa,KwaZulu-Natal,Durban,Scubadiving,M,"International Business Times, 3/1/2018",2018.02.24-Polly.pdf,http://sharkattackfile.net/spreadsheets/pdf_directory/2018.02.24-Polly.pdf,http://sharkattackfile.net/spreadsheets/pdf_directory/2018.02.24-Polly.pdf,2018.02.24,2018.02.24,6264.0,No
2018.02.23,February,2018,Unprovoked,Australia,New South Wales,"Little Congwong Beach, La Perouse ",Swimming,F,"B. Myatt, GSAF",2018.02.23-Shurapey.pdf,http://sharkattackfile.net/spreadsheets/pdf_directory/2018.02.23-Shurapey.pdf,http://sharkattackfile.net/spreadsheets/pdf_directory/2018.02.23-Shurapey.pdf,2018.02.23,2018.02.23,6263.0,No
2018.02.17,February,2018,Provoked,Australia,Victoria,Westernport Bay,Kayakfishing,M,"B. Myatt, GSAF",2018.02.17-Palmer.pdf,http://sharkattackfile.net/spreadsheets/pdf_directory/2018.02.17-Palmer.pdf,http://sharkattackfile.net/spreadsheets/pdf_directory/2018.02.17-Palmer.pdf,2018.02.17,2018.02.17,6262.0,No
2018.02.15,February,2018,Unprovoked,Australia,New South Wales,"Surf Beach, Kiama",Walking,M,"B. Myatt, GSAF",2018.02.15-Hoare.pdf,http://sharkattackfile.net/spreadsheets/pdf_directory/2018.02.15-Hoare.pdf,http://sharkattackfile.net/spreadsheets/pdf_directory/2018.02.15-Hoare.pdf,2018.02.15,2018.02.15,6261.0,No
2018.02.14,February,2018,Invalid,Australia,Queensland,Mooloolaba Beach,Swimming,F,"Sunshine Coast Daily, 2/15/2018",2018.02.14-Babd.pdf,http://sharkattackfile.net/spreadsheets/pdf_directory/2018.02.14-Babd.pdf,http://sharkattackfile.net/spreadsheets/pdf_directory/2018.02.14-Babd.pdf,2018.02.14,2018.02.14,6260.0,No
2018.02.11,February,2018,Invalid,Brazil,"Boi Island, Victoria",Espirito Santo,Cleaning,F,TrackingSharks.com,2018.02.11-Rosilda.pdf,http://sharkattackfile.net/spreadsheets/pdf_directory/2018.02.11-Rosilda.pdf,http://sharkattackfile.net/spreadsheets/pdf_directory/2018.02.11-Rosilda.pdf,2018.02.11,2018.02.11,6259.0,No
2018.02.03,February,2018,Unprovoked,Ecuador,Galapagos Islands,Santa Fe Island,Snorkeling,M,"The Standard (UK), 2/6/2018",2018.02.03-Newman.pdf,http://sharkattackfile.net/spreadsheets/pdf_directory/2018.02.03-Newman.pdf,http://sharkattackfile.net/spreadsheets/pdf_directory/2018.02.03-Newman.pdf,2018.02.03,2018.02.03,6258.0,No
2018.02.01,February,2018,Invalid,Australia,Western Australia,"Avalon Point, Manurah",Spearfishing,M,"The West Australian, 2/2/2018",2018.02.01-Martin.pdf,http://sharkattackfile.net/spreadsheets/pdf_directory/2018.02.01-Martin.pdf,http://sharkattackfile.net/spreadsheets/pdf_directory/2018.02.01-Martin.pdf,2018.02.01,2018.02.01,6257.0,No
2018.01.28,January,2018,Unprovoked,Australia,Western Australia,Cone Bay,not specified,M,"ABC.net.au, 01/28/2018",2018.01.28-ConeBay.pdf,http://sharkattackfile.net/spreadsheets/pdf_directory/2018.01.28-ConeBay.pdf,http://sharkattackfile.net/spreadsheets/pdf_directory/2018.01.28-ConeBay.pdf,2018.01.28,2018.01.28,6256.0,No
2018.01.21,January,2018,Unprovoked,New Caledonia,Not specified,Nouville,Spearfishing,M,TrackingSharks.com,2018.01.21-NewCaledonia.pdf,http://sharkattackfile.net/spreadsheets/pdf_directory/2018.01.21-NewCaledonia.pdf,http://sharkattackfile.net/spreadsheets/pdf_directory/2018.01.21-NewCaledonia.pdf,2018.01.21,2018.01.21,6255.0,No
2018.01.14,January,2018,Unprovoked,Australia,Queensland,Lizard Island,Diving,M,"B. Myatt, GSAF",2018.01.14-Vickers.pdf,http://sharkattackfile.net/spreadsheets/pdf_directory/2018.01.14-Vickers.pdf,http://sharkattackfile.net/spreadsheets/pdf_directory/2018.01.14-Vickers.pdf,2018.01.14,2018.01.14,6254.0,No
2018.01.13,January,2018,Unprovoked,Australia,New South Wales,Martin Islet,Freediving,M,"B. Myatt, GSAF",2018.01.13-Stewart.pdf,http://sharkattackfile.net/spreadsheets/pdf_directory/2018.01.13-Stewart.pdf,http://sharkattackfile.net/spreadsheets/pdf_directory/http://sharkattackfile.net/spreadsheets/pdf_directory/2018.01.13-Stewart.pdf,2018.01.13,2018.01.13,6253.0,No
2018.01.12,January,2018,Unprovoked,Brazil,Fernando de Noronha,Conceicao Beach,Surfing,M,TrackingSharks.com,2018.01.12-Bulhoes.pdf,http://sharkattackfile.net/spreadsheets/pdf_directory/2018.01.12-Bulhoes.pdf,http://sharkattackfile.net/spreadsheets/pdf_directory/2018.01.12-Bulhoes.pdf,2018.01.12,2018.01.12,6252.0,No
2018.01.05,January,2018,Unprovoked,Australia,Western Australia,"South Point, Gracetown",Surfing,M,"Perth Now, 1/6/2018",2018.01.05-Justin.pdf,http://sharkattackfile.net/spreadsheets/pdf_directory/2018.01.05-Justin.pdf,http://sharkattackfile.net/spreadsheets/pdf_directory/2018.01.05-Justin.pdf,2018.01.05,2018.01.05,6251.0,No
2017.12.31,December,2017,Unprovoked,Usa,Hawaii,"Hultin's Beach, Oahu",Surfing,F,"J. Howard, Surfling Now, 1/2/2018",2017.12.31-Mariano.pdf,http://sharkattackfile.net/spreadsheets/pdf_directory/2017.12.31-Mariano.pdf,http://sharkattackfile.net/spreadsheets/pdf_directory/2017.12.31-Mariano.pdf,2017.12.31,2017.12.31,6250.0,No
2017.12.30,December,2017,Unprovoked,Usa,California,"Drakes Estero, Point Reyes, Marin County",Surfing,F,R. Collier,2017.12.30.Jones.pdf,http://sharkattackfile.net/spreadsheets/pdf_directory/2017.12.30.Jones.pdf,http://sharkattackfile.net/spreadsheets/pdf_directory/2017.12.30.Jones.pdf,2017.12.30,2017.12.30,6249.0,No
2017.12.21,December,2017,Provoked,Malaysia,Sepang,Bagan Lalang Beach,Fishingwading,M,TrackingSharks.com,2017.12.21-Harun.pdf,http://sharkattackfile.net/spreadsheets/pdf_directory/2017.12.21-Harun.pdf,http://sharkattackfile.net/spreadsheets/pdf_directory/2017.12.21-Harun.pdf,2017.12.21,2017.12.21,6248.0,No
2017.12.09,December,2017,Unprovoked,Bahamas,Not specified,Not specified,Snorkeling,F,"Daily Star, 12/11/2017",2017.12.09-Carroll.pdf,http://sharkattackfile.net/spreadsheets/pdf_directory/2017.12.09-Carroll.pdf,http://sharkattackfile.net/spreadsheets/pdf_directory/2017.12.09-Carroll.pdf,2017.12.09,2017.12.09,6247.0,No
2017.11.30.b,November,2017,Unprovoked,Costa Rica,Cocos Island,Manuelita,Scubadiving,M,R. Arauz,2017.11.30.b-Jimenez.pdf,http://sharkattackfile.net/spreadsheets/pdf_directory/2017.11.30.b-Jimenez.pdf,http://sharkattackfile.net/spreadsheets/pdf_directory/2017.11.30.b-Jimenez.pdf,2017.11.30.b,2017.11.30.b,6246.0,No
2017.11.30.a,November,2017,Unprovoked,Costa Rica,Cocos Island,Manuelita,Scubadiving,F,R. Arauz,2017.11.30.a-Bhandari.pdf,http://sharkattackfile.net/spreadsheets/pdf_directory/2017.11.30.a-Bhandari.pdf,http://sharkattackfile.net/spreadsheets/pdf_directory/2017.11.30.a-Bhandari.pdf,2017.11.30.a,2017.11.30.a,6245.0,Yes
2017.11.25.R,November,2017,Sea Disaster,Libya,Not specified,Gars Garabulli,not specified,No specified,"TG Com 24, 11/25/2017",2017.11.25.R-Libya.pdf,http://sharkattackfile.net/spreadsheets/pdf_directory/2017.11.25.R-Libya.pdf,http://sharkattackfile.net/spreadsheets/pdf_directory/2017.11.25.R-Libya.pdf,2017.11.25.R,2017.11.25.R,6244.0,Yes
2017.11.24,November,2017,Unprovoked,Usa,California,"Stillwater Cove, Monterey County",Spearfishing,M,"R. Collier, GSAF",2017.11.24-Azatian.pdf,http://sharkattackfile.net/spreadsheets/pdf_directory/2017.11.24-Azatian.pdf,http://sharkattackfile.net/spreadsheets/pdf_directory/2017.11.24-Azatian.pdf,2017.11.24,2017.11.24,6243.0,No
2017.11.18,November,2017,Unprovoked,Usa,Florida,"Floridana Beach, Brevard County",Surfing,F,"Florida Today, 11/21/2017",2017.11.18-Anderson.pdf,http://sharkattackfile.net/spreadsheets/pdf_directory/2017.11.18-Anderson.pdf,http://sharkattackfile.net/spreadsheets/pdf_directory/2017.11.18-Anderson.pdf,2017.11.18,2017.11.18,6242.0,No
2017.11.13.R,November,2017,Unprovoked,Not specified,Not specified,Not specified,Surfing,M,Instagram,2017.11.13.R-Timur.pdf,http://sharkattackfile.net/spreadsheets/pdf_directory/2017.11.13.R-Timur.pdf,http://sharkattackfile.net/spreadsheets/pdf_directory/2017.11.13.R-Timur.pdf,2017.11.13.R,2017.11.13.R,6241.0,No
2017.11.13,November,2017,Unprovoked,Australia,New South Wales,Avoca Beach,Surfing,M,"B. Myatt, GSAF",2017.11.13-Fry.pdf,http://sharkattackfile.net/spreadsheets/pdf_directory/2017.11.13-Fry.pdf,http://sharkattackfile.net/spreadsheets/pdf_directory/2017.11.13-Fry.pdf,2017.11.13,2017.11.13,6240.0,No
2017.11.04,November,2017,Unprovoked,Cuba,Holquin Province,Guardalavaca Beach,Nightbathing,M,TrackingSharks.com,2017.11.04-Cuba.pdf,http://sharkattackfile.net/spreadsheets/pdf_directory/2017.11.04-Cuba.pdf,http://sharkattackfile.net/spreadsheets/pdf_directory/2017.11.04-Cuba.pdf,2017.11.04,2017.11.04,6239.0,Yes
2017.10.31.R,October,2017,Unprovoked,Australia,Queensland,Magnetic Island,Snorkeling,M,"Townsville Bulletin, 10/31/2017",2017.10.21.R-Tolley.pdf,http://sharkattackfile.net/spreadsheets/pdf_directory/2017.10.21.R-Tolley.pdf,http://sharkattackfile.net/spreadsheets/pdf_directory/2017.10.21.R-Tolley.pdf,2017.10.31.R,2017.10.31.R,6238.0,No
2017.10.28,October,2017,Unprovoked,Australia,New South Wales,Birubi Point,Surfing,M,"B. Myatt, GSAF",2017.10.28-Birubi.pdf,http://sharkattackfile.net/spreadsheets/pdf_directory/2017.10.28-Birubi.pdf,http://sharkattackfile.net/spreadsheets/pdf_directory/2017.10.28-Birubi.pdf,2017.10.28,2017.10.28,6237.0,No
2017.10.26,October,2017,Unprovoked,Usa,Hawaii,"White Plains Beach, Oahu",Standuppaddleboarding,M,"Hawaii News Now, 10/27/2017",2017.10.26-Oahu.pdf,http://sharkattackfile.net/spreadsheets/pdf_directory/2017.10.26-Oahu.pdf,http://sharkattackfile.net/spreadsheets/pdf_directory/2017.10.26-Oahu.pdf,2017.10.26,2017.10.26,6236.0,No
2017.10.23.c,October,2017,Unprovoked,Mauritius,Pamplemousses ,Le Goulet,Swimming,M,"J. LeBlanc, GSAF",2017.10.23.c-Mauritius.pdf,http://sharkattackfile.net/spreadsheets/pdf_directory/2017.10.23.c-Mauritius.pdf,http://sharkattackfile.net/spreadsheets/pdf_directory/2017.10.23.c-Mauritius.pdf,2017.10.23.c,2017.10.23.c,6235.0,No
2017.10.23.b,October,2017,Unprovoked,Usa,Florida,"Juno Beach, Palm Beach County",Surfing,M,"WPBF News, 10/24/2017",2017.10.23.b-Hartl.pdf,http://sharkattackfile.net/spreadsheets/pdf_directory/2017.10.23.b-Hartl.pdf,http://sharkattackfile.net/spreadsheets/pdf_directory/2017.10.23.b-Hartl.pdf,2017.10.23.b,2017.10.23.b,6234.0,No
2017.10.23.a,October,2017,Unprovoked,Usa,Florida,"Ocean Reef Park, Singer Island, Palm Beach County",Swimming,F,"Palm Beach Post, 11/1/2017",2017.10.23.a-Peteka.pdf,http://sharkattackfile.net/spreadsheets/pdf_directory/2017.10.23.a-Peteka.pdf,http://sharkattackfile.net/spreadsheets/pdf_directory/2017.10.23.a-Peteka.pdf,2017.10.23.a,2017.10.23.a,6233.0,No
2017.10.22,October,2017,Unprovoked,Australia,South Australia,Normanville,Kayakingfishing,F,"Nine News, 10/22/2017",2017.10.22-Williams.pdf,http://sharkattackfile.net/spreadsheets/pdf_directory/2017.10.22-Williams.pdf,http://sharkattackfile.net/spreadsheets/pdf_directory/2017.10.22-Williams.pdf,2017.10.22,2017.10.22,6232.0,No
